"id","created_at","updated_at","basic","carbs","default_amount","default_measurement","dietary_fiber","energy_kcal","energy_kj","food_group","name","protein","saturated_fats","source_database","sugar","total_fats","density"
2229,2024-09-04 13:12:41.847,2024-09-04 13:12:41.847,false,0.0,1.0,GRAMS,0.0,116.0,485.344,4,Τόνος σε νερό ,26.0,0.2,Inhealion,0.0,0.8,1.0
925,2024-08-22 14:24:38.411,2024-10-11 11:52:27.516,true,0.3,1.0,PIECES,0.0,46.0,192.464,2,Αυγό ημέρας Μεγάλo,6.0,0.0,AB,0.3,11.0,1.0
901,2024-08-22 14:24:37.834,2024-09-04 12:14:20.016,false,11.0,1.0,CUPS,0.0,46.0,192.464,,Φρέσκος Χυμός Μήλο Ρόδι Σταφύλι Πορτοκάλι,0.5,0.0,AB,10.5,0.0,1.0
902,2024-08-22 14:24:37.852,2024-09-04 12:14:20.050,false,0.1,1.0,CUPS,0.1,1.0,4.184,,Φυσικός Χυμός Ελληνικά Εσπεριδοειδή,0.0,0.0,AB,0.1,0.0,1.0
903,2024-08-22 14:24:37.892,2024-09-04 12:14:20.105,false,15.7,1.0,CUPS,0.3,63.0,263.592,,Φυσικός Χυμός Σταφύλι Μήλο Πορτοκάλι Ρόδι,0.2,0.0,AB,14.3,0.0,1.0
904,2024-08-22 14:24:37.912,2024-09-04 12:14:20.134,false,12.0,1.0,CUPS,0.0,53.6,224.2624,,Φρουτοποτό Μπανάνα Βύσσινο,0.8,0.0,AB,10.0,0.0,1.0
905,2024-08-22 14:24:37.933,2024-09-04 12:14:20.159,false,12.1,1.0,CUPS,0.0,51.0,213.38400000000001,,Φρέσκος Χυμός Φυσικός Μανταρίνι,0.3,0.0,AB,12.1,0.1,1.0
906,2024-08-22 14:24:37.971,2024-09-04 12:14:20.207,false,11.9,1.0,CUPS,0.0,53.0,221.752,,Φρουτοποτό Σταφύλι Μπανάνα Πεπόνι,0.8,0.0,AB,11.5,0.0,1.0
907,2024-08-22 14:24:37.994,2024-09-04 12:14:20.232,false,11.8,1.0,CUPS,0.0,49.0,205.01600000000002,,Φρουτοποτό Μπανάνα Φράουλα,0.4,0.0,AB,11.8,0.0,1.0
908,2024-08-22 14:24:38.032,2024-09-04 12:14:20.280,false,11.8,1.0,CUPS,0.0,48.0,200.832,,Φρέσκος Χυμός Μήλο Πορτοκάλι Καρότο,0.2,0.0,AB,9.8,0.0,1.0
909,2024-08-22 14:24:38.056,2024-09-04 12:14:20.308,false,14.1,1.0,CUPS,0.0,58.0,242.672,,Φυσικός Χυμός Μήλο Αρώνια Σταφύλι Ρόδι,0.3,0.0,AB,11.6,0.3,1.0
910,2024-08-22 14:24:38.087,2024-09-04 12:14:20.356,false,10.7,1.0,CUPS,0.0,43.0,179.912,,Φρουτοποτό Λεμόνι Ράσμπερι,0.1,0.0,AB,8.9,0.0,1.0
911,2024-08-22 14:24:38.106,2024-09-04 12:14:20.372,false,12.7,1.0,CUPS,0.0,53.0,221.752,,Φυσικός Χυμός Μήλο,0.3,0.0,AB,12.3,0.1,1.0
912,2024-08-22 14:24:38.128,2024-09-04 12:14:20.391,false,11.6,1.0,CUPS,0.1,47.0,196.648,,Φυσικός Χυμός 9 Κόκκινα Φρούτα,0.2,0.0,AB,11.5,0.0,1.0
913,2024-08-22 14:24:38.147,2024-09-04 12:14:20.409,false,12.0,1.0,CUPS,0.0,53.0,221.752,,Φρουτοποτό Ανανάς Σταφύλι Μπανάνα Λεμόνι,0.4,0.0,AB,10.4,0.1,1.0
914,2024-08-22 14:24:38.168,2024-09-04 12:14:20.427,false,1.4,1.0,CUPS,0.3,6.0,25.104,,Φυσικός Χυμός Energy Boost με Ginger & Ginseng,0.0,0.0,AB,1.4,0.0,1.0
915,2024-08-22 14:24:38.187,2024-09-04 12:14:20.446,false,11.0,1.0,CUPS,0.0,43.0,179.912,,Φρουτοποτό Μανταρίνι,0.5,0.0,AB,10.0,0.0,1.0
916,2024-08-22 14:24:38.212,2024-09-04 12:14:20.466,false,13.0,1.0,CUPS,0.0,50.0,209.20000000000002,,Φρουτοποτό Πορτοκάλι Ρόδι,0.5,0.0,AB,11.0,0.0,1.0
917,2024-08-22 14:24:38.230,2024-09-04 12:14:20.487,false,11.6,1.0,CUPS,0.4,48.0,200.832,,Φυσικός Χυμός Σταφύλι Πορτοκάλι Καρότο,0.2,0.0,AB,11.6,0.0,1.0
918,2024-08-22 14:24:38.258,2024-09-04 12:14:20.509,false,11.0,1.0,CUPS,0.0,50.0,209.20000000000002,,Φρουτοποτό Καρότο Πορτοκάλι Μάνγκο,0.6,0.0,AB,8.3,0.1,1.0
919,2024-08-22 14:24:38.278,2024-09-04 12:14:20.526,false,12.0,1.0,CUPS,0.0,53.0,221.752,,Φυσικός Χυμός Immune Plus με Κουρκουμά,0.6,0.0,AB,12.0,0.0,1.0
920,2024-08-22 14:24:38.296,2024-09-04 12:14:20.549,false,1.0,1.0,CUPS,0.0,138.0,577.392,,Φρουτοποτό Φρούτα με Φραγκόσυκο,13.0,0.0,AB,0.0,11.0,1.0
921,2024-08-22 14:24:38.317,2024-09-04 12:14:20.572,false,0.7,1.0,PIECES,0.0,49.9,208.7816,,Φρέσκα Αυγά Βιολογικά,10.5,0.0,AB,0.0,0.2,1.0
922,2024-08-22 14:24:38.341,2024-09-04 12:14:20.590,false,0.7,1.0,PIECES,0.0,135.0,564.84,,Ασπράδι Αυγού Νωπό Παστεριωμένο,12.5,0.0,AB,0.4,9.5,1.0
923,2024-08-22 14:24:38.361,2024-09-04 12:14:20.607,false,0.7,1.0,PIECES,0.0,138.0,577.392,,Αυγό Ελευθέρας Βοσκής από Καλαμπόκι,12.5,0.0,AB,0.4,9.5,1.0
924,2024-08-22 14:24:38.388,2024-09-04 12:14:20.626,false,1.0,1.0,PIECES,0.0,138.0,577.392,,Αυγό Αχυρώνα με Καλαμπόκι,13.0,0.0,AB,0.0,11.0,1.0
926,2024-08-22 14:24:38.442,2024-09-04 12:14:20.678,false,1.12,1.0,PIECES,0.0,150.0,627.6,,Ασπράδι Νωπό Παστεριωμένο Βιολογικό,12.6,0.0,AB,0.0,10.6,1.0
927,2024-08-22 14:24:38.461,2024-09-04 12:14:20.695,false,1.0,1.0,PIECES,0.0,138.0,577.392,,Αυγό Ημέρας Ελευθέρας Βοσκής,13.0,0.0,AB,0.0,11.0,1.0
928,2024-08-22 14:24:38.479,2024-09-04 12:14:20.716,false,0.7,1.0,PIECES,0.0,138.0,577.392,,Φρέσκο Αυγό Αχυρώνα Βιταμίνη D & Ω3,12.5,0.0,AB,0.4,9.5,1.0
929,2024-08-22 14:24:38.496,2024-09-04 12:14:20.736,false,1.12,1.0,PIECES,0.0,150.0,627.6,,Αυγό Φρέσκο Κλωβοστοιχίας,12.6,0.0,AB,0.0,10.6,1.0
930,2024-08-22 14:24:38.516,2024-09-04 12:14:20.752,false,1.0,1.0,PIECES,0.0,138.0,577.392,,Αυγό Αχυρώνα Βιταμίνη D & Ελαιόλαδο,0.0,0.0,AB,0.0,11.0,1.0
1783,2024-08-22 14:25:05.102,2024-09-05 08:20:22.176,false,0.0,1.0,PIECES,0.0,363.0,1518.7920000000001,5,Σολομός Καπνιστός,21.0,0.0,AB,0.0,31.0,1.0
932,2024-08-22 14:24:38.559,2024-10-15 10:28:45.746,true,0.0,1.0,PIECES,0.0,346.0,1447.664,2,Αυγό Ημέρας Μεσαίο,23.5,0.0,AB,0.0,28.0,1.0
931,2024-08-22 14:24:38.540,2024-09-04 12:14:20.771,false,1.0,1.0,PIECES,0.0,138.0,577.392,,Αυγό Βιολογικό Ελαιών με Ω3,13.0,0.0,AB,0.0,11.0,1.0
933,2024-08-22 14:24:38.580,2024-09-04 12:14:20.819,false,0.7,1.0,SLICES,0.0,308.0,1288.672,,Τυρί Γκούντα Ολλανδίας,18.0,0.0,AB,0.7,24.9,1.0
934,2024-08-22 14:24:38.597,2024-09-04 12:14:20.841,false,0.0,1.0,SLICES,0.0,349.0,1460.2160000000001,,Τυρί Φέτα Τριπόλεως,23.5,0.0,AB,0.0,27.9,1.0
935,2024-08-22 14:24:38.619,2024-09-04 12:14:20.863,false,3.1,1.0,SLICES,0.0,83.0,347.272,,Τυρί Ημίσκληρο Γκούντα,12.7,0.0,AB,3.1,2.2,1.0
936,2024-08-22 14:24:38.644,2024-09-04 12:14:20.886,false,0.0,2.0,TABLESPOONS,2.3,271.0,1133.864,,Τυρί Cottage Φρέσκο,16.0,0.0,AB,0.0,23.0,1.0
937,2024-08-22 14:24:38.669,2024-09-04 12:14:20.903,false,3.0,1.0,SLICES,0.0,92.0,384.928,5,Τυρί Φέτα Παραδοσιακή,11.0,0.0,AB,3.0,4.0,1.0
938,2024-08-22 14:24:38.687,2024-09-04 12:14:20.922,false,0.8,2.0,TABLESPOONS,0.0,350.0,1464.4,,Τυρί Cottage 4% Λιπαρά,27.0,0.0,AB,0.8,27.0,1.0
939,2024-08-22 14:24:38.709,2024-09-04 12:14:20.939,false,0.0,2.0,TABLESPOONS,0.0,402.0,1681.968,,Τριμμένο Τυρί Κεφαλοτύρι,32.0,0.0,AB,0.0,30.0,0.45
940,2024-08-22 14:24:38.726,2024-09-04 12:14:20.956,false,3.0,2.0,TABLESPOONS,0.0,169.0,707.096,,Τριμμένο Τυρί Παρμεζάνα Parmigiano Reggiano,10.0,0.0,AB,3.0,13.0,0.38
941,2024-08-22 14:24:38.744,2024-09-04 12:14:20.982,false,2.9,2.0,TABLESPOONS,0.0,402.0,1681.968,,Τυρί Κατίκι Δομοκού,26.0,0.0,AB,0.4,32.0,1.0
942,2024-08-22 14:24:38.769,2024-09-04 12:14:20.999,false,4.0,1.0,SLICES,0.0,252.0,1054.368,,Γραβιέρα Κρήτης,14.0,0.0,AB,1.0,20.0,1.0
943,2024-08-22 14:24:38.786,2024-09-04 12:14:21.018,false,0.5,1.0,SLICES,0.0,380.0,1589.92,,Μπέϊκον,27.0,0.0,AB,0.5,30.0,1.0
944,2024-08-22 14:24:38.814,2024-09-04 12:14:21.056,false,3.0,1.0,SLICES,0.0,95.0,397.48,,Γαλοπούλα Βραστή,18.5,0.0,AB,0.6,1.0,1.0
945,2024-08-22 14:24:38.832,2024-09-04 12:14:21.074,false,0.0,1.0,SLICES,0.0,273.0,1142.232,,Γαλοπούλα Καπνιστή,30.0,0.0,AB,0.0,17.0,1.0
946,2024-08-22 14:24:38.855,2024-09-04 12:14:21.098,false,0.0,1.0,SLICES,0.0,364.0,1522.976,,Τυρί Ημίσκληρο Light,23.0,0.0,AB,0.0,30.0,1.0
947,2024-08-22 14:24:38.872,2024-09-04 12:14:21.118,false,1.0,1.0,SLICES,0.0,161.0,673.624,,Τυρί Ημίσκληρο Gouda,20.0,0.0,AB,1.0,8.5,1.0
948,2024-08-22 14:24:38.889,2024-09-04 12:14:21.136,false,0.0,1.0,SLICES,0.0,273.0,1142.232,,Τυρί Mozzarella,28.0,0.0,AB,0.0,18.0,1.0
949,2024-08-22 14:24:38.907,2024-09-04 12:14:21.170,false,0.5,1.0,SLICES,0.0,355.0,1485.3200000000002,,Τυρί Ολλανδίας Μαλακό 18% Λιπαρά,23.0,0.0,AB,0.5,29.0,1.0
950,2024-08-22 14:24:38.924,2024-09-04 12:14:21.191,false,1.5,2.0,TABLESPOONS,0.0,99.0,414.216,,Τυρί Gouda Creamy,16.5,0.0,AB,1.5,3.0,0.97
951,2024-08-22 14:24:38.941,2024-09-04 12:14:21.208,false,4.0,1.0,SLICES,0.0,94.0,393.296,,Γαλοπούλα Ψητή Φέτες,16.0,0.0,AB,1.0,2.0,1.0
952,2024-08-22 14:24:38.968,2024-09-04 12:14:21.226,false,0.0,1.0,SLICES,0.0,190.0,794.96,,Κοτόπουλο Καπνιστό Φέτες,0.0,0.0,AB,0.0,0.0,1.0
953,2024-08-22 14:24:38.986,2024-09-04 12:14:21.243,false,0.0,2.0,TABLESPOONS,0.0,184.0,769.856,,Τυρί Κρέμα Light,19.0,0.0,AB,0.0,12.0,1.1
954,2024-08-22 14:24:39.011,2024-09-04 12:14:21.260,false,0.1,1.0,SLICES,0.0,393.0,1644.3120000000001,,Τυρί Λευκό Ελαφρύ,27.1,0.0,AB,0.1,30.7,1.0
955,2024-08-22 14:24:39.031,2024-09-04 12:14:21.277,false,4.3,1.0,SLICES,0.2,225.0,941.4000000000001,,Τυρί Κεφαλογραβιέρα Αμφιλοχίας,5.4,0.0,AB,4.3,21.0,1.0
956,2024-08-22 14:24:39.053,2024-09-04 12:14:21.295,false,0.3,1.0,TABLESPOONS,0.0,360.35,1507.7044,,Τυρί Κρέμα,24.8,0.0,AB,0.0,27.5,1.1
957,2024-08-22 14:24:39.084,2024-09-04 12:14:21.312,false,0.3,2.0,TABLESPOONS,0.0,366.7,1534.2728,,Τριμμένο Τυρί 4 Τυριά,25.1,0.0,AB,0.0,28.2,0.5
958,2024-08-22 14:24:39.107,2024-09-04 12:14:21.331,false,0.0,2.0,TABLESPOONS,0.0,364.0,1522.976,,Τριμμένο Τυρί Γκούντα,23.0,0.0,AB,0.0,30.0,0.48
959,2024-08-22 14:24:39.167,2024-09-04 12:14:21.370,false,1.65,1.0,SLICES,0.0,179.0,748.936,,Μορταδέλα Χωρίς Γλουτένη,11.6,0.0,AB,5.65,14.0,1.0
960,2024-08-22 14:24:39.201,2024-09-04 12:14:21.387,false,6.0,1.0,SLICES,0.0,216.0,903.744,,Τυρί Ανθότυρο Αμφιλοχίας,12.0,0.0,AB,0.5,16.0,1.0
