"recipe_id","categories"
34,0
34,1
34,3
34,2
34,4
155,2
155,4
155,3
156,2
156,4
36,0
95,2
95,4
64,2
64,4
93,2
93,4
38,2
38,4
72,0
72,1
38,0
38,1
38,3
160,2
160,4
167,2
7,2
7,4
39,2
39,4
39,3
167,4
250,0
11,2
11,4
40,2
40,4
41,2
41,4
42,2
42,4
43,0
43,1
16,2
16,4
43,2
43,3
17,2
17,4
43,4
44,2
18,2
18,4
44,4
45,2
19,2
19,4
20,0
20,1
20,2
20,3
20,4
21,2
21,4
22,2
22,4
23,2
23,4
23,3
24,2
24,4
45,4
46,2
27,2
27,4
28,2
28,4
29,2
29,4
30,0
31,2
31,4
46,4
102,2
32,2
32,4
102,4
47,2
47,4
103,2
33,2
33,4
103,4
48,2
48,4
49,2
49,4
103,0
103,1
50,2
50,4
51,2
51,4
52,2
52,4
163,2
163,4
54,2
54,4
55,2
55,4
56,0
56,1
56,3
57,2
57,4
57,0
57,1
57,3
103,3
165,2
59,2
59,4
165,4
60,2
60,4
250,1
250,3
61,2
61,4
246,0
246,1
63,2
63,4
65,2
65,4
66,2
66,4
71,0
71,1
74,2
74,4
75,2
75,4
76,3
76,2
76,4
77,2
77,4
77,3
78,2
78,4
79,2
79,4
80,2
80,4
81,0
81,1
81,3
81,2
81,4
82,2
82,4
83,2
83,4
84,2
84,4
85,2
85,4
86,0
87,2
87,4
91,2
91,4
92,2
92,4
94,2
94,4
53,2
53,4
90,2
90,4
35,0
35,1
35,2
35,3
35,4
99,2
99,4
101,2
101,4
157,2
157,4
159,2
159,4
104,2
104,4
246,3
98,2
98,4
58,2
58,4
62,2
62,4
97,0
97,1
97,3
97,2
97,4
105,2
105,4
162,2
162,3
106,2
106,4
107,2
107,4
108,0
108,2
108,4
108,3
108,1
162,4
164,2
164,4
243,0
243,1
109,0
109,1
109,2
109,3
109,4
168,2
168,4
169,2
110,2
110,4
169,4
169,1
111,2
111,4
112,2
112,4
113,2
113,4
114,2
114,4
169,3
115,2
115,4
116,2
116,4
170,2
117,2
117,4
118,2
118,4
119,2
119,4
120,2
120,4
121,2
121,4
170,4
171,2
171,4
123,2
123,4
124,2
124,4
125,2
125,4
126,2
126,4
128,2
128,4
129,2
129,4
130,2
130,4
131,0
132,1
132,3
132,0
133,1
133,3
134,1
134,3
135,2
135,4
135,3
136,2
136,4
137,2
137,3
137,4
172,2
172,4
138,0
138,2
138,4
139,2
139,4
140,2
140,4
141,2
141,4
172,3
96,0
96,1
96,3
96,2
96,4
67,2
67,4
68,2
68,4
122,2
122,4
143,2
143,4
144,0
144,1
144,2
144,4
144,3
145,0
145,1
145,2
145,3
145,4
146,4
146,2
147,2
147,4
148,2
148,4
149,4
149,2
150,2
150,4
151,2
151,4
152,2
152,4
153,2
153,4
174,2
174,4
154,2
154,4
276,1
173,2
173,4
276,3
176,2
176,4
177,0
289,1
289,3
179,0
178,2
178,4
180,2
180,4
243,2
243,3
166,2
166,4
158,2
158,4
181,2
181,4
182,2
182,4
183,0
183,1
183,2
183,3
183,4
184,2
184,4
185,2
185,4
186,2
186,4
186,3
187,2
187,4
188,2
188,4
189,2
189,4
189,3
190,2
190,4
191,4
191,2
192,2
192,4
193,0
193,1
193,3
194,0
194,1
194,2
194,3
194,4
243,4
265,0
265,3
237,0
195,2
195,4
196,2
196,4
197,2
