id,created_at,updated_at,carbs,description,dietary_fiber,energy_kcal,energy_kj,fat,name,net_carbs,preparation_instructions,preparation_time_in_minutes,protein,saturated_fats,servings,sugar,total_fats,total_grams,company_id,Lactose Intolerance,Gluten Intolerance,Soy Intolerance,Nut Allergy,Shellfish Allergy,Egg Allergy,Dairy-Free,Vegan,Vegetarian
190,2024-09-12 13:24:20.465,2024-09-12 13:24:20.465,11.622375,Χοιρινή μπριζόλα με μέλι και μουστάρδα,1.4385624999999995,834.99125,0.0,70.45431249999999,Χοιρινή μπριζόλα με μέλι και μουστάρδα,0.0,"Εκτέλεση: Ανακατεύουμε όλα τα υλικά μας σε ένα μπολ. Τοποθετούμε τις μπριζόλες σε ένα πυρέξ και περιχύνουμε τις μπριζόλες μας με το περιεχόμενο του μπολ. Βάζουμε 1,5 ποτήρι με νερό και ψήνουμε στο φούρνο στους 180 βαθμούς για 1 ώρα. Στα 45 λεπτά γυρίζουμε τις μπριζόλες ανάλογα το φούρνο μας.





",70,35.82356250000001,0.0141249999999999,4,8.66045625,70.45431249999999,209.375,0,0,1,1,1,1,1,0,0,1
74,2024-09-04 06:39:43.165,2024-09-04 06:39:43.165,94.63585,Φακόρυζο,2.97895,898.94525,0.0,43.3967,Φακόρυζο,0.0,"Εκτέλεση: Βράζουμε στην κατσαρόλα τις φακές με νερό σε μέτρια φωτιά, για περίπου 20 λεπτά. Όταν γίνουν, στραγγίζουμε και αφήνουμε στην άκρη. Στην ίδια κατσαρόλα, προσθέτουμε όλα μας τα υλικά, ρίχνουμε νερό τόσο όσο για να καλυφθούν οι φακές και βράζουμε σε μέτρια φωτιά.



",25,31.617025,0.0515,4,2.6581825,43.3967,291.075,0,1,0,1,0,0,1,1,1,0
17,2024-08-28 12:30:34.518,2024-08-28 12:45:01.039,31.0791,Μουσακάς,7.649966666666667,525.7368333333334,0.0,32.262800000000006,Μουσακάς,0.0,"Εκτέλεση: Αλέθουμε στο μπλέντερ (ή ψιλοκόβουμε) το μαϊντανό και το κρεμμύδι. Σε ένα βαθύ τηγάνι (ή κατσαρόλα) βάζουμε το λάδι και ρίχνουμε μέσα τα αλεσμένα (από βήμα 1) σε μεσαία φωτιά για να τσιγαριστούν.Ρίχνουμε μέσα τα υπόλοιπα υλικά (κιμάς, κόκκινο κρασί, τομάτα, κανέλα, αλάτι, 1 κσ ελαιόλαδο) και σπάμε με μια κουτάλα το κιμά. Ανακατεύουμε καλά και ρίχνουμε νερό μέχρι να καλυφθούν τα υλικά. Σκεπάζουμε με το καπάκι και αφήνουμε σε μεσαία φωτιά μέχρι να ρουφήξει το νερό ανακατεύοντας ενδιάμεσα. Κόβουμε τα λαχανικά (μελιτζάνα, κολοκύθι, πατάτα) σε κανονικές φέτες και βάζουμε στο φούρνο για 20 λεπτά στους 190 βαθμούς (στο μισό χρόνο τα αναποδογυρίζουμε). Αφού ψηθούν τα προαναφερόμενα βάζουμε σε ένα κατσαρολάκι σε χαμηλή φωτιά το λάδι και το αλεύρι και ανακατεύουμε γρήγορα με ένα σύρμα. Σιγά σιγά ρίχνουμε το γάλα και το τυρί και ανακατεύουμε καλά μέχρι να δέσουν (αν είναι πολύ αραιό για πολλή ώρα προσθέστε τυρί). Βγάζουμε από τη φωτιά και προσθέτουμε το αυγό. Ανακατεύουμε πολύ καλά (αν είναι σφιχτό ρίξτε λίγο γάλα). Σε ένα ταψί τοποθετούμε τις πατάτες, από πάνω τις μελιτζάνες, από πάνω τον κιμά, έπειτα το κολοκύθι και τέλος την μπεσαμέλ. Ψήνουμε στον φούρνο στους 180 βαθμούς μέχρι να ροδίσει (περίπου 30 λεπτά).








",60,19.92628333333333,0.295,6,14.932855000000002,32.262800000000006,512.0458333333332,0,0,0,1,0,1,0,1,0,1
16,2024-08-28 12:14:38.688,2024-09-04 12:15:53.373,46.8997,Μπριάμ ,10.2799,324.4355,0.0,13.889733333333334,Μπριάμ ,0.0,"Εκτέλεση: Κόβουμε λεπτές ροδέλες πατάτες, κολοκύθια και καρότα και την τομάτα σε καρέ. Ανακατεύουμε όλα τα υλικά μαζί πολύ καλά και τα βάζουμε στο ταψί προσθέτοντας νερό ίσα που να τα σκεπάζει. Ψήνουμε σε προθερμασμένο φούρνο στις αντιστάσεις στους 220 βαθμούς ως να χρυσίσουν και να πιουν τα ζουμιά.


",90,7.990216666666669,0.4519999999999999,3,11.052581666666669,13.889733333333334,561.9416666666667,0,0,0,1,1,1,1,0,1,1
70,2024-09-02 08:01:28.924,2024-09-09 11:24:24.603,24.241125,Easy recipe,0.0,188.942,0.0,5.874125,Cookie,0.0,"Mix the melted butter with the white sugar and the egg until it's homogeneous. Mix the flour with the baking powder in another bowl and add the salt. Then add the flour, baking powder and salt to the other bowl and mix until it's homogeneous. Break the chocolate into small pieces. Add the chocolate chip to the dough and mix it again. Shape the cookie dough into balls of the desired size and place them on a baking tray. Put the baking tray in the oven at 180°C for about 10 minutes. Keep a close eye on them during cooking. After that, remove from the oven and leave to cool for a few minutes. Enjoy ! ",30,9.028425,0.0,4,2.512875,5.874125,66.525,1,1,0,0,1,1,1,1,0,0
21,2024-08-28 13:15:34.931,2024-08-28 13:15:34.931,24.756525000000003,Κοκκινιστό μοσχάρι με ρύζι,1.606175,1135.415375,0.0,64.14005,Κοκκινιστό μοσχάρι με ρύζι,0.0,"Εκτέλεση: Βράζουμε το μοσχάρι για περίπου μιάμιση ώρα. Όταν γίνει στραγγίζουμε και το αφήνουμε στην άκρη.
Σε μια κατσαρόλα, ρίχνουμε 1 κουταλιά ελαιόλαδο, το κρεμμύδι και το καρότο για να τσιγαριστούν. Αφού πάρουν χρώμα, ρίχνουμε το μοσχάρι μας σε κομματάκια και το ανακατεύουμε για να δέσει. Έπειτα, ρίχνουμε τη σάλτσα μας μαζί με ένα δύο ποτήρια νερό και τα μπαχαρικά μας. Το αφήνουμε να σιγοβράσει σε μέτρια φωτιά περίπου μία ώρα. 
Για το ρύζι: Σε μια κατσαρόλα, ρίχνουμε 2 κουταλιές λάδι σε μέτρια φωτιά. Έπειτα προσθέτουμε το ρύζι και νερό όσο πάρει.
Αφήνουμε να βράσει (μπορεί να χρειαστεί και έξτρα νερό).
Όταν γίνει στραγγίζουμε και σερβίρουμε σε ένα πιάτο το κοκκινιστό μας και λίγο ρύζι.
",180,112.8752875,0.0675,4,2.9610237500000003,64.14005,526.4875,0,0,1,1,1,1,0,0,1,0
71,2024-09-02 08:13:27.881,2024-09-02 08:13:27.881,24.241125,Easy recipe,0.0,188.942,0.0,5.874125,Cookie,0.0,"Mix the melted butter with the white sugar and the egg until it's homogeneous. Mix the flour with the baking powder in another bowl and add the salt. Then add the flour, baking powder and salt to the other bowl and mix until it's homogeneous. Break the chocolate into small pieces. Add the chocolate chip to the dough and mix it again. Shape the cookie dough into balls of the desired size and place them on a baking tray. Put the baking tray in the oven at 180°C for about 10 minutes. Keep a close eye on them during cooking. After that, remove from the oven and leave to cool for a few minutes. Enjoy ! ",30,9.028425,0.0,4,2.512875,5.874125,66.525,1,0,1,1,1,0,0,1,0,1
23,2024-08-28 13:28:20.209,2024-08-28 13:28:20.209,8.414733333333333,Μελιτζανοσαλάτα,4.1393,45.021833333333326,0.0,1.2578000000000005,Μελιτζανοσαλάτα,0.0,"Εκτέλεση: Κόβω το κοτσάνι από τις μελιτζάνες και μετά τις κόβω στη μέση. Χαρακώνω λίγο τη σάρκα τους με το μαχαίρι και ψήνω στο Γκριλ για 20 λεπτά μέχρι να μαλακώσουν. Μόλις έχουν ψηθεί παίρνω ένα μπολ και με ένα κουτάλι βγάζω όλη την ψίχα της μελιτζάνας και τη ρίχνω στο μπολ, σε αυτή τη φάση με ένα ψαλίδι κουζίνας κόβω τη ψίχα κομματάκια. Προσθέτω το σκόρδο τριμμένο, την πιπεριά και τον μαϊντανό ψιλοκομμένα. Ρίχνω αλάτι πιπέρι λάδι ανάλογα με τα γούστα μας, ανακατεύω πολύ καλά τα υλικά μου και μόλις κρυώσει την βάζω στο ψυγείο για να δέσουν καλύτερα οι γεύσεις. Βέβαια μπορείς να τη φας και ζέστη εκείνη την ώρα. 

 


",30,1.4930166666666669,0.1343333333333333,6,4.697955,1.2578000000000005,139.94583333333333,0,0,0,1,1,1,0,1,1,0
24,2024-08-28 13:35:58.064,2024-08-28 13:35:58.064,32.258075,,1.05,475.4228749999999,0.0,29.123075,Παστίτσιο,0.0,"Εκτέλεση: Για να φτιάξουμε τον κιμά, τσιγαρίζουμε τον κιμά και το κρεμμύδι, αλάτι, πιπέρι, μπαχάρι και κανέλα σε κατσαρόλα με αντικολλητικό πάτο μέχρι να πάρει καλό χρώμα περίπου 10 λεπτά. (Δεν χρειάζεται λάδι) Ρίχνουμε το κρασί και ανακατεύουμε μέχρι να εξατμιστεί 2-3 λεπτά και κατόπιν την ντομάτα με λίγο νερό. Αφήνουμε να σιγοβράσει για 30 λεπτά ανακατεύοντας κάθε τόσο.  Παράλληλα βράζουμε τα ζυμαρικά σύμφωνα με τις οδηγίες του πακέτου. Μόλις τα σουρώσουμε, χτυπάμε το ένα αυγό μαζί με το εβαπορέ και τα ρίχνουμε στα ζεστά μακαρόνια και ανακατεύουμε καλά. Σε αυτή την φάση προθερμαίνουμε τον φούρνο στους 175 και αλείφουμε ένα πυρέξ με λίγο λάδι ή ψεκάζουμε με σπρέι αντικολλητικό. Για να φτιάξουμε την μπεσαμέλ, λιώνουμε το βούτυρο σε ένα κατσαρολάκι σε μέτρια φωτιά. Ρίχνουμε το αλεύρι και ανακατεύουμε καλά. Συνεχίζουμε να ανακατεύουμε καθώς προσθέτουμε το γάλα λίγο λίγο μέχρι να αρχίσει να πήζει. Ρίχνουμε, αλάτι, πιπέρι και μοσχοκάρυδο και ανακατεύουμε. Σβήνουμε την φωτιά. Τέλος προσεχτικά ρίχνουμε το αυγό και ανακατεύουμε καλά. Βάζουμε μία στρώση ζυμαρικών στον πάτο του πυρέξ (ή και όλα όπως είναι το κλασσικό παστίτσιο) ακολουθώντας με μια στρώση κιμά και την μισή παρμεζάνα και πάλι ζυμαρικά. Τέλος περιχύνουνε με την μπεσαμέλ και από πάνω την υπόλοιπη παρμεζάνα. Καλύπτουμε το πυρέξ με αλουμινόχαρτο και ψήνουμε για 20 λεπτά. Αφαιρούμε το αλουμινόχαρτο και ψήνουνε για άλλα 15-20 λεπτά μέχρι να πάρει ωραίο χρυσάφι χρώμα.





",120,19.6176875,0.0125,8,17.75935,29.123075,212.159375,0,0,0,1,1,0,0,0,0,0
28,2024-08-29 06:54:00.208,2024-08-29 06:54:00.208,48.7588,Μοσχάρι γιουβέτσι,2.2996000000000003,979.482,0.0,45.7216,Μοσχάρι γιουβέτσι,0.0,"Εκτέλεση: Έχετε ζητήσει από τον χασάπη να σας κόψει το κρέας σε μερίδες. Προθερμαίνετε το φούρνο στους 250 C. Πλένετε το κρέας και το βάζετε σε πήλινη γάστρα ή βαθύ ταψί, το αλατοπιπερώνετε, ρίχνετε τη σάλτσα ντομάτας, λάδι, νερό μέχρι να σκεπαστεί το κρέας. Αν το βάλετε στη γάστρα τη σκεπάζετε ή αν το βάλετε στο ταψί το σκεπάζετε με αλουμινόχαρτο. Κατόπιν το βάζετε στο φούρνο, χαμηλώνετε τη φωτιά στους 220 C στις αντιστάσεις και το ψήνετε περίπου 1 ώρα, στη συνέχεια το βγάζετε από το φούρνο, γυρνάτε το κρέας να πάρει και από την άλλη χρώμα, ελέγχεται αν έχει ψηθεί. Αν έχει πιει το νερό βάζετε ακόμα λίγο. Όταν ψηθεί βγάζετε τη γάστρα ή το ταψί από το φούρνο, του ρίχνετε νερό να σκεπαστεί το κρέας, αλάτι, πιπέρι και το βάζετε στο φούρνο ώστε να πάρει βράση. Βγάζετε το ταψί ρίχνετε το κριθαράκι, ανακατεύετε να πάει παντού και το βάζετε στο φούρνο για περίπου 10’. Κλείνετε το φούρνο και αφήνετε το φαγητό για περίπου 30’. Κατόπιν βγάζετε το φαγητό από το φούρνο το αφήνετε να κρυώσει για 10’. Το σερβίρετε με κεφαλοτύρι τριμμένο ή μυζήθρα τριμμένη μαζί με μια ωραία δροσερή πράσινη σαλάτα. Σημείωση: Το λάδι πρέπει να είναι αρκετό ώστε όταν μείνει το κριθαράκι να μη λασπώσει. Το συγκεκριμένο φαγητό τη θέλει τη ντομάτα του, αν βάλετε φρέσκιες πρέπει να είναι αρκετά ώριμες.











",120,89.96820000000001,0.0,5,5.12546,45.7216,498.875,0,0,0,1,0,0,0,0,0,1
